datetime;ask;bid;spread
2023-06-28 00:00:01.219;33918.7;33917.2;1.5
2023-06-28 00:00:03.219;33917.7;33916.2;1.5
2023-06-28 00:00:04.015;33916.7;33915.2;1.5
2023-06-28 00:00:04.515;33916.2;33914.7;1.5
2023-06-28 00:00:05.427;33916.7;33915.2;1.5
2023-06-28 00:00:07.238;33917.2;33915.7;1.5
2023-06-28 00:00:08.040;33916.7;33915.2;1.5
2023-06-28 00:00:09.617;33917.2;33915.7;1.5
2023-06-28 00:00:12.020;33917.7;33916.2;1.5
2023-06-28 00:00:18.615;33917.2;33915.7;1.5
2023-06-28 00:00:20.326;33917.7;33916.2;1.5
2023-06-28 00:00:22.421;33916.7;33915.2;1.5
2023-06-28 00:00:26.416;33917.2;33915.7;1.5
2023-06-28 00:00:39.516;33916.7;33915.2;1.5
2023-06-28 00:00:46.815;33917.2;33915.7;1.5
2023-06-28 00:00:47.318;33917.7;33916.2;1.5
2023-06-28 00:00:48.417;33918.2;33916.7;1.5
2023-06-28 00:00:49.919;33918.7;33917.2;1.5
2023-06-28 00:01:01.319;33919.7;33918.2;1.5
2023-06-28 00:01:11.215;33920.7;33919.2;1.5
2023-06-28 00:01:14.915;33921.7;33920.2;1.5
2023-06-28 00:01:19.815;33922.7;33921.2;1.5
2023-06-28 00:01:21.315;33922.2;33920.7;1.5
2023-06-28 00:01:22.423;33921.7;33920.2;1.5
2023-06-28 00:01:27.620;33922.7;33921.2;1.5
2023-06-28 00:01:32.717;33921.7;33920.2;1.5
2023-06-28 00:01:36.115;33920.2;33918.7;1.5
2023-06-28 00:01:38.919;33920.7;33919.2;1.5
2023-06-28 00:01:43.115;33921.7;33920.2;1.5
2023-06-28 00:01:45.125;33920.7;33919.2;1.5
2023-06-28 00:01:49.616;33920.2;33918.7;1.5
2023-06-28 00:01:50.716;33920.7;33919.2;1.5
2023-06-28 00:01:54.130;33920.2;33918.7;1.5
2023-06-28 00:01:54.517;33920.7;33919.2;1.5
2023-06-28 00:01:58.216;33921.7;33920.2;1.5
2023-06-28 00:01:59.316;33922.7;33921.2;1.5
2023-06-28 00:02:00.521;33921.7;33920.2;1.5
2023-06-28 00:02:01.516;33922.7;33921.2;1.5
2023-06-28 00:02:14.116;33921.7;33920.2;1.5
2023-06-28 00:02:14.515;33921.2;33919.7;1.5
2023-06-28 00:02:16.818;33920.7;33919.2;1.5
2023-06-28 00:02:17.723;33920.2;33918.7;1.5
2023-06-28 00:02:23.332;33920.7;33919.2;1.5
2023-06-28 00:02:24.616;33921.2;33919.7;1.5
2023-06-28 00:02:28.315;33921.7;33920.2;1.5
2023-06-28 00:02:40.821;33922.2;33920.7;1.5
2023-06-28 00:02:43.122;33922.7;33921.2;1.5
2023-06-28 00:02:48.216;33921.7;33920.2;1.5
2023-06-28 00:02:51.816;33920.7;33919.2;1.5
2023-06-28 00:03:00.719;33920.2;33918.7;1.5
2023-06-28 00:03:01.421;33921.7;33920.2;1.5
2023-06-28 00:03:05.521;33921.2;33919.7;1.5
2023-06-28 00:03:06.024;33920.7;33919.2;1.5
2023-06-28 00:03:11.026;33921.2;33919.7;1.5
2023-06-28 00:03:12.918;33920.7;33919.2;1.5
2023-06-28 00:03:17.011;33921.2;33919.7;1.5
2023-06-28 00:03:18.520;33921.7;33920.2;1.5
2023-06-28 00:03:22.714;33920.7;33919.2;1.5
2023-06-28 00:03:41.125;33919.7;33918.2;1.5
2023-06-28 00:03:43.616;33920.7;33919.2;1.5
2023-06-28 00:03:46.018;33919.7;33918.2;1.5
2023-06-28 00:03:52.320;33921.2;33919.7;1.5
2023-06-28 00:03:52.618;33921.7;33920.2;1.5
2023-06-28 00:03:56.816;33920.7;33919.2;1.5
2023-06-28 00:04:06.223;33922.2;33920.7;1.5
2023-06-28 00:04:07.716;33922.7;33921.2;1.5
2023-06-28 00:04:10.819;33921.7;33920.2;1.5
2023-06-28 00:04:12.315;33921.2;33919.7;1.5
2023-06-28 00:04:13.415;33921.7;33920.2;1.5
2023-06-28 00:04:17.321;33920.7;33919.2;1.5
2023-06-28 00:04:19.617;33921.2;33919.7;1.5
2023-06-28 00:04:19.915;33921.7;33920.2;1.5
2023-06-28 00:04:28.917;33922.7;33921.2;1.5
2023-06-28 00:04:43.216;33921.2;33919.7;1.5
2023-06-28 00:04:43.716;33922.7;33921.2;1.5
2023-06-28 00:04:48.816;33921.7;33920.2;1.5
2023-06-28 00:04:58.817;33922.7;33921.2;1.5
2023-06-28 00:05:03.618;33921.7;33920.2;1.5
2023-06-28 00:05:04.321;33922.2;33920.7;1.5
2023-06-28 00:05:07.323;33921.7;33920.2;1.5
2023-06-28 00:05:15.719;33922.2;33920.7;1.5
2023-06-28 00:05:16.025;33921.7;33920.2;1.5
2023-06-28 00:05:17.316;33922.7;33921.2;1.5
2023-06-28 00:05:18.226;33922.2;33920.7;1.5
2023-06-28 00:05:18.817;33922.7;33921.2;1.5
2023-06-28 00:05:26.616;33922.2;33920.7;1.5
2023-06-28 00:05:27.917;33921.7;33920.2;1.5
2023-06-28 00:05:28.417;33922.2;33920.7;1.5
2023-06-28 00:05:29.616;33921.7;33920.2;1.5
2023-06-28 00:05:30.317;33922.7;33921.2;1.5
2023-06-28 00:05:30.715;33923.7;33922.2;1.5
2023-06-28 00:05:33.426;33923.2;33921.7;1.5
2023-06-28 00:05:36.416;33923.7;33922.2;1.5
2023-06-28 00:05:36.821;33923.2;33921.7;1.5
2023-06-28 00:05:39.316;33922.7;33921.2;1.5
2023-06-28 00:05:39.914;33923.2;33921.7;1.5
2023-06-28 00:05:41.315;33923.7;33922.2;1.5
2023-06-28 00:05:45.330;33922.7;33921.2;1.5
2023-06-28 00:06:04.919;33921.7;33920.2;1.5
2023-06-28 00:06:08.315;33921.2;33919.7;1.5
2023-06-28 00:06:08.515;33921.7;33920.2;1.5
2023-06-28 00:06:09.438;33922.7;33921.2;1.5
2023-06-28 00:06:11.915;33921.7;33920.2;1.5
2023-06-28 00:06:13.116;33922.2;33920.7;1.5
2023-06-28 00:06:14.023;33921.7;33920.2;1.5
2023-06-28 00:06:17.212;33922.2;33920.7;1.5
2023-06-28 00:06:18.715;33922.7;33921.2;1.5
2023-06-28 00:06:21.717;33921.7;33920.2;1.5
2023-06-28 00:06:29.633;33921.2;33919.7;1.5
2023-06-28 00:06:30.216;33921.7;33920.2;1.5
2023-06-28 00:06:34.818;33922.2;33920.7;1.5
2023-06-28 00:06:35.621;33921.7;33920.2;1.5
2023-06-28 00:06:38.015;33922.7;33921.2;1.5
2023-06-28 00:06:47.324;33923.2;33921.7;1.5
2023-06-28 00:06:50.215;33924.2;33922.7;1.5
2023-06-28 00:06:50.716;33924.7;33923.2;1.5
2023-06-28 00:06:52.115;33924.2;33922.7;1.5
2023-06-28 00:06:52.315;33924.7;33923.2;1.5
2023-06-28 00:06:54.118;33924.2;33922.7;1.5
2023-06-28 00:06:56.122;33924.7;33923.2;1.5
2023-06-28 00:06:56.919;33925.2;33923.7;1.5
